Species,B9,Ca,treeSpecies
,110653.0,12.5,Erinaceus_europaeus
,75939.0,,Suricata_suricatta
,72299.0,22.0,Felis_catus
,70245.0,,Panthera_tigris
,70366.0,23.0,Panthera_leo
,82686.0,23.0,Panthera_pardus
,74337.0,22.0,Vulpes_vulpes
,70958.0,18.0,Mustela_erminea
,79578.0,,Ursus_americanus
,72719.0,17.0,Equus_caballus
,66416.0,12.0,Vicugna_pacos
,59619.0,,Camelus_ferus
,74776.0,,Monodon_monoceros
,81095.0,24.0,Orcinus_orca
,74840.0,,Tursiops_truncatus
,82872.0,19.3,Balaenoptera_acutorostrata_scammoni
,72860.0,21.0,Bos_taurus
,72083.0,,Capra_hircus
,63042.0,,Ovis_aries
,61410.0,21.5,Sus_scrofa
,65544.0,,Pteropus_vampyrus
,68980.0,10.0,Oryctolagus_cuniculus
,74535.0,,Rattus_norvegicus
,74720.0,30.0,Mus_musculus
,47610.0,5.5,Cavia_porcellus
,70498.0,,Lemur_catta
,89786.0,19.0,Callithrix_jacchus
,97354.0,,Gorilla_gorilla
,107594.0,4.0,Homo_sapiens
,99761.0,2.0,Pan_troglodytes
,94898.0,15.0,Macaca_mulatta
,107351.0,17.0,Macaca_nemestrina
,61306.0,20.0,Loxodonta_africana
,104619.0,4.0,Choloepus_didactylus
,56347.0,12.0,Tachyglossus_aculeatus
,65753.0,20.0,Ornithorhynchus_anatinus
